Model,Accuracy,BalancedAccuracy,Precision,Recall,F1,Dataset
WeightedLogReg,0.54,0.5119798234552333,0.5122265122265123,0.5119798234552333,0.5118845500848896,dataset_prepared
CostSensitiveSVM,0.55,0.4739386296763346,0.4538690476190476,0.4739386296763346,0.4357366771159875,dataset_prepared
CostSensitiveTree,0.475,0.451765447667087,0.45238095238095233,0.451765447667087,0.45196899710326466,dataset_prepared
CostSensitiveForest,0.575,0.5059899117276166,0.5094511689603715,0.5059899117276166,0.4813119755911518,dataset_prepared
CostSensitiveAda,0.45,0.44052122740647326,0.4431955038137294,0.44052122740647326,0.4390044879640963,dataset_prepared
CostSensitiveXGB,0.575,0.5013661202185793,0.5023589185265832,0.5013661202185793,0.47005829358770534,dataset_prepared
CostSensitiveExtraTrees,0.585,0.4841319882303489,0.4121582315299593,0.4841319882303489,0.3904006463222063,dataset_prepared
CostSensitiveGBDT,0.61,0.5,0.305,0.5,0.37888198757763975,dataset_prepared
WeightedLogReg,0.5346938775510204,0.5350193256030921,0.5359291672364282,0.5350193256030921,0.5318785197103781,dataset_smote
CostSensitiveSVM,0.5428571428571428,0.5431827269092363,0.5443046629290305,0.5431827269092363,0.5400911772593189,dataset_smote
CostSensitiveTree,0.5102040816326531,0.5100626416100227,0.5101111557519753,0.5100626416100227,0.5095422394234619,dataset_smote
CostSensitiveForest,0.5142857142857142,0.5146608023457284,0.5151724137931035,0.5146608023457284,0.5103374145546766,dataset_smote
CostSensitiveAda,0.5265306122448979,0.5265560442489672,0.5265595841109038,0.5265560442489672,0.5265227242436359,dataset_smote
CostSensitiveXGB,0.5469387755102041,0.5470145275223244,0.5470772721206459,0.5470145275223244,0.5468179773034045,dataset_smote
CostSensitiveExtraTrees,0.5183673469387755,0.51859256297481,0.5188208310847274,0.51859256297481,0.5170074846297781,dataset_smote
CostSensitiveGBDT,0.5469387755102041,0.547614287618286,0.5534565314978304,0.547614287618286,0.5345314505776637,dataset_smote
